Title,Venue,Link,Authors,Year,Type
Exploring author gender in book rating and recommendation,User Modeling and User-Adapted Interaction,http://link.springer.com/article/10.1007/s11257-020-09284-2,Michael D. EkstrandDaniel Kluver,2021,Article
Recommending on graphs: a comprehensive review from a data perspective,User Modeling and User-Adapted Interaction,http://link.springer.com/article/10.1007/s11257-023-09359-w,Lemei ZhangPeng LiuJon Atle Gulla,2023,Article
Recommender systems based on user reviews: the state of the art,User Modeling and User-Adapted Interaction,http://link.springer.com/article/10.1007/s11257-015-9155-5,Li ChenGuanliang ChenFeng Wang,2015,Article
What recommenders recommend: an analysis of recommendation biases and possible countermeasures,User Modeling and User-Adapted Interaction,http://link.springer.com/article/10.1007/s11257-015-9165-3,Dietmar JannachLukas LercheIman KamehkhoshMichael Jugovac,2015,Article
A bias detection tree approach for detecting disparities in a recommendation model’s errors,User Modeling and User-Adapted Interaction,http://link.springer.com/article/10.1007/s11257-022-09334-x,Joanna Misztal-RadeckaBipin Indurkhya,2023,Article
Recommender systems: from algorithms to user experience,User Modeling and User-Adapted Interaction,http://link.springer.com/article/10.1007/s11257-011-9112-x,Joseph A. KonstanJohn Riedl,2012,Article
Distributional semantic pre-filtering in context-aware recommender systems,User Modeling and User-Adapted Interaction,http://link.springer.com/article/10.1007/s11257-015-9158-2,Victor CodinaFrancesco RicciLuigi Ceccaroni,2016,Article
HHMF: hidden hierarchical matrix factorization for recommender systems,Data Mining and Knowledge Discovery,http://link.springer.com/article/10.1007/s10618-019-00632-4,Hui LiYu LiuYuqiu QianNikos MamoulisWenting TuDavid W. Cheung,2019,Article
An overview of consensus models for group decision-making and group recommender systems,User Modeling and User-Adapted Interaction,http://link.springer.com/article/10.1007/s11257-023-09380-z,Thi Ngoc Trang TranAlexander FelfernigViet Man Le,2024,Article
Generating post hoc review-based natural language justifications for recommender systems,User Modeling and User-Adapted Interaction,http://link.springer.com/article/10.1007/s11257-020-09270-8,Cataldo MustoMarco de GemmisPasquale LopsGiovanni Semeraro,2021,Article
Exploring potential biases towards blockbuster items in ranking-based recommendations,Data Mining and Knowledge Discovery,http://link.springer.com/article/10.1007/s10618-022-00860-1,Emre Yalcin,2022,Article
NFC: a deep and hybrid item-based model for item cold-start recommendation,User Modeling and User-Adapted Interaction,http://link.springer.com/article/10.1007/s11257-021-09303-w,Cesare BernardisPaolo Cremonesi,2022,Article
Hybrid music recommendation with graph neural networks,User Modeling and User-Adapted Interaction,http://link.springer.com/article/10.1007/s11257-024-09410-4,Matej BevecMarko TkalčičMatevž Pesek,2024,Article
Algorithmic fairness datasets: the story so far,Data Mining and Knowledge Discovery,http://link.springer.com/article/10.1007/s10618-022-00854-z,Alessandro FabrisStefano MessinaGianmaria SilvelloGian Antonio Susto,2022,Article
The Unfairness of Popularity Bias in Book Recommendation,Advances in Bias and Fairness in Information Retrieval,http://link.springer.com/chapter/10.1007/978-3-031-09316-6_7,Mohammadmehdi NaghiaeiHossein A. RahmaniMahdi Dehghan,2022,Chapter
Popularity Bias in Collaborative Filtering-Based Multimedia Recommender Systems,Advances in Bias and Fairness in Information Retrieval,http://link.springer.com/chapter/10.1007/978-3-031-09316-6_1,Dominik KowaldEmanuel Lacic,2022,Chapter
Utilizing Implicit Feedback for User Mainstreaminess Evaluation and Bias Detection in Recommender Systems,Advances in Bias and Fairness in Information Retrieval,http://link.springer.com/chapter/10.1007/978-3-031-37249-0_4,Kuanyi ZhangMin XieYi ZhangHaixian Zhang,2023,Chapter
An Offer You Cannot Refuse? Trends in the Coercive Impact of Amazon Book Recommendations,Advances in Bias and Fairness in Information Retrieval,http://link.springer.com/chapter/10.1007/978-3-031-71975-2_1,Jonathan H. Rystrøm,2025,Chapter
Privacy-Preserving Fair Item Ranking,Advances in Information Retrieval,http://link.springer.com/chapter/10.1007/978-3-031-28238-6_13,Jia Ao SunSikha PentyalaMartine De CockGolnoosh Farnadi,2023,Chapter
Language Models for Collaborative Filtering Neighbourhoods,Advances in Information Retrieval,http://link.springer.com/chapter/10.1007/978-3-319-30671-1_45,Daniel ValcarceJavier ParaparÁlvaro Barreiro,2016,Chapter
Efficient Pseudo-Relevance Feedback Methods for Collaborative Filtering Recommendation,Advances in Information Retrieval,http://link.springer.com/chapter/10.1007/978-3-319-30671-1_44,Daniel ValcarceJavier ParaparÁlvaro Barreiro,2016,Chapter
"A Study on Accuracy, Miscalibration, and Popularity Bias in Recommendations",Advances in Bias and Fairness in Information Retrieval,http://link.springer.com/chapter/10.1007/978-3-031-37249-0_1,Dominik KowaldGregor MayrMarkus SchedlElisabeth Lex,2023,Chapter
Novel and Diverse Recommendations by Leveraging Linear Models with User and Item Embeddings,Advances in Information Retrieval,http://link.springer.com/chapter/10.1007/978-3-030-45442-5_27,Alfonso LandinJavier ParaparÁlvaro Barreiro,2020,Chapter
Cross Domain User Engagement Evaluation,Advances in Information Retrieval,http://link.springer.com/chapter/10.1007/978-3-319-30671-1_64,Ali MontazeralghaemHamed ZamaniAzadeh Shakery,2016,Chapter
Towards Optimizing Ranking in Grid-Layout for Provider-Side Fairness,Advances in Information Retrieval,http://link.springer.com/chapter/10.1007/978-3-031-56069-9_7,Amifa RajMichael D. Ekstrand,2024,Chapter
Measuring Item Fairness in Next Basket Recommendation: A Reproducibility Study,Advances in Information Retrieval,http://link.springer.com/chapter/10.1007/978-3-031-56066-8_18,Yuanna LiuMing LiMozhdeh AriannezhadMasoud MansouryMohammad AliannejadiMaarten de Rijke,2024,Chapter
